Department,CourseName,Course,Program,CourseCode,Offerings that are sustainable,CourseDescription,Focused or Inclusive,Cross Listed
Interdepartmental Arts,Introduction to Environmental Studies,EVST 001,EVST,001,All offerings,"This course surveys the dominant environmental issues confronting humanity and the natural world on a local, national, and global basis with an emphasis on critical thinking skills. Topics include humankind’s role in environmental change; cultural perceptions and economic valuation of nature; resource availability and social equity; sustainability and consumerism; environmental justice and ethics; and environmental regulation, law, policy and planning. This course fulfills a social science credit requirement. Please select ES 002 to fulfill the natural science requirement.",Sustainability-focused,
Interdepartmental Arts,Introduction To Environmental Science,EVST 002,EVST,002,All offerings,"Focuses on natural and human-induced drivers and consequences of environmental change. Exploring options for mitigating and adapting to environmental change in ecosystems, physical and social systems, the course examines such topics as biogeochemical cycles, population pressure, ecosystem diversity, productivity and food security, energy, water resources, climate change, pollution, ozone, urban issues and sustainability. Stresses interactions using case studies. Intended for any student with an interest in the environment. May be combined with EES 022 or EES 004 for 4 credits.",Sustainability-focused,EES 002
Interdepartmental Arts,Science of Environmental Issues,EVST 004,EVST,004,All offerings,Analysis of current environmental issues from a scientific perspective. The focus on the course will be weekly discussions based on assigned readings. ,Sustainability-inclusive,EES 004
Interdepartmental Arts,Environmental Issues Ecuador- Lehigh Launch,EVST 096,EVST,096,Specific offerings,"This course integrates ecosystem ecology, cultural perspectives, global economic integration and environmental policy to holistically develop potential solutions to impacts of resource extraction, tourism, and climate change in Ecuador. Students will use concepts like environmental justice, sustainability analysis, and economic development to collect and derive meaning from data while also mastering career skills like collaborative teamwork, stress management, effective communication, and creative curiosity within an international context of diversity, equity and inclusion. This course satisfies the freshman seminar and Social Science distribution requirements in the College of Arts & Sciences and the Globalization requirement in the College of Business. It is an approved elective in the Environmental Studies major and minor.",Sustainability-focused,
Interdepartmental Arts,US Environmental Policy & Law,EVST 105,EVST,105,All offerings,"Analysis of the framework that has been established to protect the environment and promote sustainable growth. Focus on the roles of the different branches of the U.S. government and the relative responsibilities of state and local governments within this framework. Consideration of the political nature of environmental issues and the social forces influencing environmental protection in different areas of domestic environmental policy, such as climate change, toxic waste disposal, and natural resources conservation.",Sustainability-focused,POLS 105
Interdepartmental Arts,Politics of The Environment,EVST 107,EVST,107,All offerings,"A survey of the major environmental, resource, energy and population problems of modern society, focusing on the United States. The politics of man’s relationship with nature, the political problems of ecological scarcity and public goods, and the response of the American political system to environmental issues.",Sustainability-focused,POLS 107
Interdepartmental Arts,Environmental Planning for Healthy Cities,EVST 110,EVST,110,All offerings,"An introduction to the topic of environmental planning, the course will review the roles of citizens, other stakeholders, political interests, and local governments in determining the use of land; unpack the meaning of ""sustainability;"" and grapple with the challenge of balancing communities' demand for development with the need to protect valuable natural resources. Students will be introduced to examples of successful and unsuccessful instances of environmental planning both at home and abroad.",Sustainability-focused,"ES 110, HMS 110, POLS 110"
Interdepartmental Arts,Environment And Culture,EVST 121,EVST,121,All offerings,Impact of environment upon cultural variability and change. Comparative study of modern and past cultures and their environments as well as current theories of human/ environmental interaction.,Sustainability-focused,ANTH 121
Interdepartmental Arts,Urban Permaculture,EVST 127,EVST,127,All offerings,"Students combine social, political, economic, engineering, and ecological modes of thinking in the design, construction, and evaluation of permaculture food gardens to serve as living laboratories and interactive classrooms to teach about sustainable urban living. Open to students from any major and college. Instructor permission required.",Sustainability-inclusive,
Interdepartmental Arts,Sociology of Climate Change,EVST 197,EVST,197,Specific offerings,"Global climate change is one of the most pressing issues of the 21st century. This course will take a sociological perspective in examining issues related to climate change responsibility, vulnerability, and mitigation, and how these are unevenly distributed across and within nations. This course will thus investigate the larger structural causes and consequences of climate change, with a strong focus on global inequality and the possibilities for climate justice. This course fulfills elective requirements for Sociology, and Sociology & Anthropology majors and minors. This course fulfills elective requirements for Sociology, Sociology & Anthropology and Environmental Studies majors and minors.",Sustainability-focused,
Interdepartmental Arts,Introduction to Environmental Sociology,EVST 197,EVST,197,Specific offerings,"The course serves as an introduction to the sociological study of the environment. In this course, students will learn about basic concepts in sociology and apply them to environmental sociology, the study of the relationship between human societies and the larger natural environment. This course will take a critical perspective to examine topics such as capitalism’s impact on the environment, environmental justice, climate change, environmental movements and the possibility for social change. This course fulfills elective requirements for Sociology, Sociology & Anthropology, Environmental Studies and Global Studies majors and minors.",Sustainability-focused,
Interdepartmental Arts,Buddhism And Ecology,EVST 254,EVST,254,All offerings,"Buddhism’s intellectual, ethical, and spiritual resources are re-examined in light of contemporary environmental problems. Is Buddhism the most green of the major world religions? What are the moral implications of actions that affect the environment?",Sustainability-focused,"ASIA 254, ETH 254, REL 254"
Interdepartmental Arts,Residential Segregation: Policies and Practices,EVST 305,EVST,305,All offerings,"This course is an introductory planning course, with an emphasis on housing and community development policy. It will examine historical and contemporary aspects of urban politics; the economic, demographic, and spatial evolution of American cities; and various urban problems, such as the spatial mismatch between people and jobs, housing quality and affordability, and residential segregation. Finally, the course will review how planners have addressed conditions in cities and regions over time.",Sustainability-inclusive,"AAS 305, POLS 305"
Interdepartmental Arts,Urban Environmental Policy Workshop,EVST 312,EVST,312,All offerings,"New Course, Pending Faculty Approval. This research methods course teaches students to highlight important conditions and trends – ones that warrant policymakers’ attention – using publicly available data sources (like the Census). Conveying information in a clear and persuasive way, one that motivates decision-makers to act, is a key step in any policymaking process. Students will become familiar with these databases and proficient at generating charts, graphs and maps using Microsoft Excel, Microsoft Access, and ArcMAP (three programs central to most jobs in policy-related fields).",Sustainability-inclusive,POLS 312
Interdepartmental Arts,US Politics & The Environment,EVST 328,EVST,328,All offerings,An examination of contemporary American politics and policy dealing with environmental issues. Current controversies in the legislative and regulatory areas will be covered to examine environmental issues and the political process. Significant portions of the course readings will be taken from government publications.,Sustainability-focused,POLS 328
Interdepartmental Arts,Psychology of Environmental Issues,EVST 357,EVST,357,All offerings,"Environmental problems and solutions begin with the thoughts, feelings, and behaviors of individual people. We will examine Western ways of relating to nature and the beliefs people hold about it, how they reason about environmental issues, and how they perceive environmental risk and make decisions. We will also consider environmental communication and attitude and behavior change, exploring arenas ranging from patterns of consumption and recycling to climate change. Research methods for investigating these issues will be introduced.",Sustainability-focused,PSYC 357
Interdepartmental Arts,Environmental Education,EVST 367,EVST,367,All offerings,"Introductory environmental education course designed to prepare students to implement environmental education opportunities in formal and non-formal education settings. Topics include history and philosophy of environmental education, environmental laws and regulations, GIS, environmental issues and decision making, curriculum integration and environmental education teaching methodologies. This is a Web enhanced containing both online and fieldwork components.",Sustainability-inclusive,TLT 367
Interdepartmental Arts,Globalization & Environment,EVST 370,EVST,370,All offerings,"This course investigates how globalization has influenced society-nature relationships, as well as how environmental conditions influence the globalization processes, focusing on the rapidly evolving global economic and political systems that characterize global development dynamics and resource use. Particular attention is paid to the role of multi-national corporations, international trade, and finance patterns and agreements. Questions related to consumption, population, global climate change, toxic wastes, and food production/distribution are key themes.",Sustainability-focused,"GS 370, SOC 370"
Interdepartmental Arts,Contemporary U.S. Literature of Environmental Crises,EVST 397,EVST,397,Specific offerings,"How does contemporary American literature intervene into debates about environmental crises? How does literature, in form and in content, challenge readers to think differently about human impact on the world? In Lawrence Buell’s pivotal work of literary ecocriticism titled Writing for an Endangered World: Literature, Culture, and Environment in the U.S. and Beyond, he suggests that contemporary environmentalist fiction engages with “toxic discourse,” which he defines as “an expressed anxiety arising from a perceived threat of environmental hazard due to chemical modification by human agency. As such, it is by no means unique to the present day, but never before the late twentieth century has it been so vocal, so intense, so pandemic, so evidentially grounded” (30-31). Following Buell, this course will address contemporary literature that depicts toxic America and the environmental crises as well as the human (and other animal) tragedies that result from a variety of contemporary practices that deny human connectivity to and dependence upon ecosystems. Students can expect to engage with some of the most important novels written in the contemporary period that call readers to address human impact on the environment and to imagine alternative and less ruinous ways of being in the world. This course will be especially valuable for students in the humanities and for students in the environmental sciences that are invested in how literary works provide resources for imagining sustainable futures and inspiring readers to engage with the challenges of the Anthropocene.",Sustainability-focused,
Interdepartmental Arts,Scientific Foundations for Environmental Policy Design,EVST 402,EVST,402,All offerings,"This course explores the science behind the environmental issues that bear on policy process at local, national and global scales. The course delves into the science of selected environmental issues that have either arisen from anthropogenic activities, that impact social systems, or that help policy-makers understand the consequence of different policy options. The course consists of readings and discussions of timely topics and one major project.",Sustainability-focused,EES 402
Interdepartmental Arts,Residential Segregation,EVST 405,EVST,405,All offerings,"This course is an introductory planning course, with an emphasis on housing and community development policy. It will examine historical and contemporary aspects of urban politics; the economic, demographic, and spatial evolution of American cities; and various urban problems, such as the spatial mismatch between people and jobs, housing quality and affordability, and residential segregation. Finally, the course will review how planners have addressed conditions in cities and regions over time.",Sustainability-inclusive,"AAS 305, POLS 305"
Interdepartmental Arts,Foundations Sustainable Development,EVST 410,EVST,410,All offerings,"This course introduces students to the foundational themes of sustainable development, including food and nutritional security, social service delivery, energy policy, water resource management, urbanization, infrastructure, human rights, biodiversity, adaptation to climate change, greenhouse gas reductions, and sustainable business and governance. Students are mentored by Lehigh faculty as they engage with world leaders in sustainability through the Global Classroom, an instructional platform pioneered by Columbia University and the Global Masters of Development Practice Association (http://globalmdp.org/).",Sustainability-focused,
Interdepartmental Arts,Urban Environmental Policy Workshop,EVST 412,EVST,412,All offerings,"An urban environmental planning and policy course in which students explore an issue affecting the local community, evaluate current policy responses and possible alternatives, and present recommendations to public officials, local organizations, and community members. Student research and analysis will draw on primary and secondary data, as well as feedback from conducting individual interviews, focus groups, and community meetings. Prior projects include determining how Bethlehem's new City Revitalization improvement Zone (CRIZ) might best benefit the South Side of Bethlehem, PA.",Sustainability-inclusive,POLS 412
Interdepartmental Arts,Advanced Environmental Policy,EVST 466,EVST,466,All offerings,"An introduction to the history of domestic environmental policy and contemporary policy trends, such as the rise of legal adversarialism and public participation in regulatory decisions. The role of market instruments in policy implementation, the emergence of rights-based approaches to environmental protection, and the role and value of distributional analysis will also be covered. Students will develop knowledge of a particular area of environmental policy at the federal, state, and/or level depending on their interests and current opportunities.",Sustainability-inclusive,POLS 466
Interdepartmental Arts,Globalization & Environment,EVST 496,EVST,496,Specific offerings,"This course investigates how globalization has influenced society-nature relationships, as well as how environmental conditions influence the globalization processes, focusing on the rapidly evolving global economic and political systems that characterize global development dynamics and resource use. Particular attention is paid to the role of multi-national corporations, international trade, and finance patterns and agreements. Questions related to consumption, population, global climate change, toxic wastes, and food production/distribution are key themes. Approved elective for the Sustainable Development, Environmental Health and Environmental Justice concentrations.",Sustainability-focused,
Interdepartmental Arts,Special Topics in Film Studies,FILM 091,FILM,091,Specific offerings,"Recently, the biographical narrative, Dahmer – Monster: The Jeffrey Dahmer Story surpassed one billion hours viewed, a feat that puts the docudrama as one of the most streamed series on Netflix. Given that the narrative is based on the real-life events of Jeffrey Dahmer’s life and the killings of his victims, the show received backlash from the families of the victims as well as the general public. In response, our course interrogates the ethics of portraying serial violence in dramatic and repetitive representations. In watching Silence of the Lambs (1991; Orion Pictures), Mindhunter (2017; Netflix), & Dahmer – Monster: The Jeffrey Dahmer Story (2022; Netflix), this course will ask the question, how should the violence of these horrible crimes, often based on real-life events, be portrayed, if at all? What does it mean to queer violent offenders in these dramatized realms? Should the ethos of the storytellers impact our intake as we consider whether the form and iteration of violent offenders is art? What draws so many viewers to watch, listen, and read about serial violence in the first place? Our own writing and readings of secondary sources will parse through these complicated questions.",Sustainability-inclusive,
Interdepartmental Arts,New American Cinema,FILM 097,FILM,097,Specific offerings,"New American Cinema classics such as Easy Rider (Dir. Hopper, 1969), Midnight Cowboy (Dir. Schlesinger, 1969), and most famously M.A.S.H. (Dir. Altman, 1970) reconceptualized the image of the healthy, ill, and medicalized body in film. This course begins with a discussion of these films and works through a variety of filmic representations of health, illness, disability, and recovery, including various depictions of mental health and illness. We will study issues such as the role of the health industry, the training of health care workers, the experience of patients and family members, the limitations of peoples’ access to care, and effects of medical care on the individual body. We will also consider issues of contagion, crises of pandemics, and national and global responses to health emergencies. Films will include Beginners (Dir. Mills, 2010), One Flew Over the Cuckoo’s Nest (Dir. Forman, 1975), Silver Lining Playbook (Dir. Russell, 2012), Still Alice (Dir. Glatzer, 2014), Philadelphia (Dir. Demme, 1993), Flatliners (Dir. Schumacher, 1990), It Follows (Dir. Mitchell, 2014), Sicko (Dir. Moore, 2007), and Contagion (Dir. Soderbergh, 2011). Course is acceptable for elective credit in Film Studies minor; course fulfills humanities credit for major/minor degree programs in the HMS.",Sustainability-inclusive,
Interdepartmental Arts,The Sports Documentary,FILM 102,FILM,102,All offerings,"The sports documentary has become an increasingly important form of media. Through the sports documentary, some of society’s most significant concerns are portrayed and discussed, including issues of race, gender, terrorism, inequality and more. Too, the sports documentary has adapted to various media, from film to television to online, from the multi-volume work of Ken Burns to ESPN’s “30 for 30.” This course examines and critiques the social, cultural, political and economic implications of the sports documentary in contemporary culture.",Sustainability-inclusive,"COMM 102, DOC 102, GS 102, JOUR 102"
Interdepartmental Collegiate,Cosmopolitanism and Culture I,GCP 185,GCP,185,All offerings,"Global citizenship assumes awareness of and contact with those unlike ourselves. This course brings us into a sustained consideration of self, other, and difference, in both theory and practice. How do we approach other people and difference in general, and why has this marked such a challenge for us as humans? We will examine Western understandings of self and other as well as non-Western conceptualizations, considering these questions within the frameworks of cosmopolitanism and global citizenship.",Sustainability-inclusive,
Interdepartmental Collegiate,Cosmopolitanism and Culture II,GCP 186,GCP,186,All offerings,"This course takes us into practice. How can we engage deeply and well with difference as we live our lives and do our work? We will analyze these questions via case studies and through engaging with guest speakers from diverse professional areas. The course includes a study trip as a cohort which will provide a deep dive into global citizenship practice around SDGs in a non-US site. These experiences will deepen our discussions around culture, leadership and collaboration.",Sustainability-focused,
Interdepartmental Collegiate,"Coaching Towards Joy, Meaning and Social Change I",GCP 195,GCP,195,Specific offerings,"In this course you will learn and practice professional coaching techniques as one way to create meaning, increase your well-being, move towards what you want to achieve and who you want to be. You will learn to coach within and across your different identities/positionalities and consider how this self-work contributes to social change and challenges oppression. The course is well-suited for students interested in peer advising, activism, mentoring and leadership in any area, as well as those simply seeking inspiration in community to support both themselves and others.",Sustainability-inclusive,
Interdepartmental Collegiate,"Coaching Towards Joy, Meaning and Social Change II",GCP 295,GCP,295,Specific offerings,"Coaching Towards Joy, Meaning and Social Change II is a continuation of Coaching Towards Joy, Meaning and Social Change I where students will continue to learn and practice professional coaching techniques as a way to create meaning, increase well-being, moving towards what they want to achieve and who they want to be. Students will continue to learn to coach within and across different identities/positionalities and consider how their self-work contributes to social change and challenges oppression. The course continuation is well-suited for students interested in peer advising, activism, mentoring and leadership in any area, as well as those simply seeking inspiration in community to support both themselves and others.",Sustainability-inclusive,
Interdepartmental Arts,The True Road to El Dorado: Colonial Latin America,GS 049,GS,049,All offerings,"Examines the initial encounters of peoples of Iberian and African origins with the indigenous civilizations of the Western Hemisphere. Explores the development of a colonial economy and its global reach. Focuses on the birth of a distinctive Latin American society and culture, with attention to the Latin American patriots who fought for their freedom. No prior knowledge of Latin American history required.",Sustainability-inclusive,"HIST 049, LAS 049"
Interdepartmental Arts,Modern Latin America,GS 050,GS,050,All offerings,"Examines the 200-year-long struggle of Latin American peoples to gain political representation, economic equality, and social justice. Explores key historical events in Latin America from the movement for independence in the early nineteenth century to today's modern societies. Topics include the wars of independence, the rule of caudillos, foreign military interventions, export economies, populism, social revolutions, the Cold War era, state terror and military dictatorships, and the war on drugs.",Sustainability-inclusive,"HIST 050, LAS 050"
Interdepartmental Arts,Freshman Seminar in Global Studies,GS 090,GS,090,Specific offerings,"Moves to control what the public knows have a long history in most cultures. Bans of individual works serve to extend political control, maintain public “decorum,” protect community values and economic influence, and enforce traditional divisions in society. Censorship keeps books, poems, films, art, performances, even individual phrases and words out of general circulation around the globe. But is censorship necessary? What about our freedom of expression? How do we draw the line between individual rights and the common good? In this course we will look at theories behind censorship and explore twentieth- and twenty-first-century works of cinema, literature, visual art, and music banned around the globe to understand what motivates both the censors and the ingenious dissenters who find and share such “dangerous” material.",Sustainability-inclusive,
Interdepartmental Arts,Freshman Seminar in Global Studies,GS 090,GS,090,Specific offerings,"When did data, let alone “big data,” become such an important part of how businesses, nations, and individuals make decisions? This seminar takes us back to the first era of big data, which began with the explosion in data collection that occurred in the eighteenth and nineteenth centuries. Advances from the Scientific Revolution–along with imperialist ventures that led to new methods of categorizing people, places, and things–gave rise to the idea that data are not only a source of reliable information, but also a means of shaping society. In this seminar we will seek to understand how the process of describing, collecting, and analyzing information has always been embedded in human culture, from cultural ideas about race and identity influencing the categories in census data to aesthetic ideas about art and literature informing ways that data are communicated and visualized. In addition to exploring the cultural history of data from the eighteenth to the twenty-first centuries, this seminar will also teach students how to read data tables from a variety of sources–from data collected by the nineteenth-century whaling industry to the most up-to-date data on the global problems facing us in the twenty-first century. Students will be trained in how to produce visualizations of these and other data sources using software like Tableau and ArcGIS. Students will also read fiction, poetry, and memoirs as well as works of history, sociology, and cultural criticism; they will view films and experience art, including born-digital interactive art and data-driven artwork from the “quantified self” movement. Students will write short papers, create analog data visualizations, give TED Talk-style presentations, and produce a digital portfolio of data analysis projects.",Sustainability-inclusive,
Interdepartmental Arts,Histories Of Globalization,GS 101,GS,101,All offerings,"Critical historical perspectives on current debates around “globalization” and the varied paths and responses to modernity, using recent scholarship associated with the New Global History. The “Rise of the West” paradigm, Industrial Revolution and modernization theory; creation of global financial markets, nationbuilding and New Imperialism; Great Depression and World Wars as global historical events; postwar decolonization, Cold War and emergence of North-South relations; impact of consumerism, movements for women's rights, ethnic nationalism and religious fundamentalist movements in traditionbound societies.",Sustainability-inclusive,HIST 101
Interdepartmental Arts,Cultural Studies and Globalization,GS 106,GS,106,All offerings,"This course closely examines the complex relationship between culture and globalization. The impact of globalization on local culture is an essential topic. But the interaction of globalization and culture is not a oneway process. People around the world adapt globalization to their own uses, merging global cultural flows with local practices in transformative ways. The course will study the interaction of local culture with globalizing forces; immigration and culture; the localizing of mass culture; cultures of diasporic and migratory groups, and globalization, gender and identity.",Sustainability-inclusive,ANTH 106
Interdepartmental Arts,World Stories: Fictional Expressions of Globalization,GS 128,GS,128,All offerings,An introduction to fiction as it reflects and discusses major issues related to globalization. The readings will include a selection of fiction from a diversity of world regions and will introduce the students to a theoretical reflection on the role of literary writing in a globalizing world. Students will be able to gain appreciation for the written fictional text as it takes on a diversity of issues related to globalization in a variety of world regions and cultural perspectives.,Sustainability-inclusive,MLL 128
Interdepartmental Arts,Globalization and Religion,GS 140,GS,140,All offerings,"This course examines the complexity of globalization and its multi-layered impact on religious identity and piety. Though comparative in methodology and historical framework, the class will give special attention to Islam and Hinduism in South Asia. Topics include: European colonialism; Orientalism and its legacy; religious nationalism; Islamophobia; and the Internet and mass media.",Sustainability-inclusive,REL 140
Interdepartmental Arts,So You Want to Save the World: Anthropological Encounters with Humanitarianism and Development,GS 317,GS,317,All offerings,"We are often motivated by the desire to “give back”-- feed the hungry, heal the sick, and help those less fortunate than ourselves. Anthropological research on humanitarian aid, development projects, and other interventions meant to improve human lives in various contexts shows us why these efforts often go awry. Focusing primarily on settings outside the U.S., students will consider the pitfalls of developmental and humanitarian interventions as well as the crucial role of local knowledge in addressing complex global problems.",Sustainability-focused,"AAS 317, ANTH 317"
Interdepartmental Arts,The Political Economy of Globalization,GS 319,GS,319,All offerings,"Studies the relationship among economic, political and cultural forces in an era of globalization, focusing on how global capitalism, the world market and local economics shape and are shaped by social, cultural, and historical forces. Topics include political and cultural determinants of trade and investment; culture and the global economy; global capitalism, especially studied through the lens of culture; globalization and patterns of economic growth; cross-cultural study of consumerism; and poverty and inequality.",Sustainability-inclusive,SOC 319
Interdepartmental Arts,Global Capitalism,GS 320,GS,320,All offerings,"Anthropological approach to the forms and effects of global capitalism. Topics include the structure of contemporary global capitalism, including the growth of multinational corporations, flexible corporate strategies, overseas manufacturing, and global branding and marketing; the impact of global capitalism on the environment and on the lives of people in ""Third World"" countries; consumer culture and the diversity of non-Western consumption practices; alternative capitalist systems.",Sustainability-inclusive,ANTH 320
Interdepartmental Arts,Gendered Experience of Globalization,GS 331,GS,331,All offerings,"Women and men experience globalization differently and globalization affects women in different cultural and national contexts. Gender stratification has been intensified by the transnational flow of goods and people. provides students with a survey of new development in feminist theories on globalization and on gender stratification and development, and links these theoretical frameworks to empirical research about gender issues that have become more prominent with globalization.",Sustainability-inclusive,"SOC 331, WGSS 331"
Interdepartmental Arts,Globalization & Environment,GS 370,GS,370,All offerings,"This course investigates how globalization has influenced society-nature relationships, as well as how environmental conditions influence the globalization processes, focusing on the rapidly evolving global economic and political systems that characterize global development dynamics and resource use. Particular attention is paid to the role of multi-national corporations, international trade, and finance patterns and agreements. Questions related to consumption, population, global climate change, toxic wastes, and food production/distribution are key themes.",Sustainability-focused,"EVST 370, SOC 370"
History,Time Travel: How to Make History,HIST 001,HIST,001,All offerings,"Students discover the power of historical analysis in a rapidly changing world by investigating a series of pressing contemporary problems. History emerges as a vital tool for confronting human diversity and understanding how societies are transformed. Skills acquired include causal analysis, empathy, interpretation, source criticism, information management, digital methods, public engagement, and argumentative writing. Themes addressed vary with instructor.",Sustainability-inclusive,
History,Democracy's Rise and Fall,HIST 017,HIST,017,All offerings,The promise and perils of democracy from the ancient world to the present. Cross-listed with GS 017,Sustainability-inclusive,GS 017
History,The True Road to El Dorado: Colonial Latin America,HIST 049,HIST,049,All offerings,"Examines the initial encounters of peoples of Iberian and African origins with the indigenous civilizations of the Western Hemisphere. Explores the development of a colonial economy and its global reach. Focuses on the birth of a distinctive Latin American society and culture, with attention to the Latin American patriots who fought for their freedom. No prior knowledge of Latin American history required.",Sustainability-inclusive,"GS 049, LAS 050"
History,The True Road to El Dorado: Colonial Latin America,HIST 049,HIST,049,All offerings,"Examines the initial encounters of peoples of Iberian and African origins with the indigenous civilizations of the Western Hemisphere. Explores the development of a colonial economy and its global reach. Focuses on the birth of a distinctive Latin American society and culture, with attention to the Latin American patriots who fought for their freedom. No prior knowledge of Latin American history required. Cross-listed with GS 049, LAS 051",Sustainability-inclusive,"GS 049, LAS 051"
History,"Heroes, Dictators, and Revolutionaries: Latin America since Independence",HIST 050,HIST,050,All offerings,"Examines the 200-year-long struggle of Latin American peoples to gain political representation, economic equality, and social justice. Explores key historical events in Latin America from the movement for independence in the early nineteenth century to today's modern societies. Topics include the wars of independence, the rule of caudillos, foreign military interventions, export economies, populism, social revolutions, the Cold War era, state terror and military dictatorships, and the war on drugs.",Sustainability-inclusive,
History,In Search for Modern China,HIST 080,HIST,080,All offerings,"This course is designed as a survey history of modern China from the late Ming to the present. We will ask some important questions over the course of the semester. When does ""modern"" China begin? How do we approach modern Chinese history? What are the boundaries of China/Chinese identity? Could these concepts stretch to include the Chinese diaspora? How has Chinese imperial history affected contemporary China’s state and society?",Sustainability-inclusive,ASIA 080
History,First year Seminar in History,HIST 090,HIST,090,Specific offerings,"“It is a peculiar sensation, this double-consciousness, this sense of always looking at one’s self through the eyes of others, of measuring one’s soul by the tape of a world that looks on it in amused contempt and pity. One ever feels his two-ness, -an American, a Negro; Two souls, two thoughts, two unreconciled strivings; two warring ideals in one dark body, whose dogged strength alone keeps it from being torn asunder.” (Dr. William Edward Burghardt DuBois 1903 The Souls of Black Folk) In 1903 Dr. William E.B. DuBois named the experiences of the decedents of kidnapped Africans living in America, “double-consciousness.” At the age of 35, the sociologist, historian, Pan-Africanist and author used but two words to explain the struggle of over four million U.S. citizens. DuBois’ term applied questions for women and men of color. These questions, how to remedy this “two-ness”; how to escape the burdens it laden on women and men; how to reconcile and ultimately feel safe; and how to find home, helped shape the social spiritual, political and recreational lives of women and men of color in the United States and the globe. Throughout this course, we will explore how African descended people attempted to reconcile their displacement and longing for a home through their own words, music, films, and material culture.",Sustainability-inclusive,
History,First year Seminar in History,HIST 090,HIST,090,Specific offerings,"America goes to the Middle East.
Discusses the history of relations between the United States and the Middle East from the nineteenth century to the present through the stories of a diverse cast of characters from missionaries to marines. Topics include travel, food, migration, imperialism, war, and transnational appeal of American pop culture.",Sustainability-inclusive,
History,First year Seminar in History,HIST 090,HIST,090,Specific offerings,"Introduction to the American West as both region and process. Investigates the diverse populations living in the west, including Native Americans, Mexicans, American settlers, miners, and cowboys, and Chinese railroad workers. Explore the process of first Spanish/Mexican and Russian and then U.S. expansion into the region and the rise of the myth of the wild west. Themes includes the evolution of land use, immigration, cultural life, social communities and changing technologies.",Sustainability-inclusive,
History,First year Seminar in History: Wild West,HIST 090,HIST,090,Specific offerings,"Introduction to the American West as both region and process. Investigates the diverse populations living in the west, including Native Americans, Mexicans, American settlers, miners, and cowboys, and Chinese railroad workers. Explore the process of first Spanish/Mexican and Russian and then U.S. expansion into the region and the rise of the myth of the wild west. Themes includes the evolution of land use, immigration, cultural life, social communities and changing technologies.",Sustainability-inclusive,
History,First year Seminar in History: The 1960s,HIST 090,HIST,090,Specific offerings,"This course will examine the United States during one of its most turbulent and contested decades: the 1960s. We will study the decade from a variety of approaches-- political, social, cultural, economic, and foreign policy—and there will be a major emphasis on social movements, protest, and conflicting visions for the nation. Topics will include civil rights and Black power, feminism, sexual liberation, gay rights, the Chicano movement, student protest, countercultures, environmentalism, the New Right, Vietnam and the anti-war movement. At the same time, we’ll also consider governmental reforms like the Great Society and War on Poverty, as well as global connections between the U.S. and the world during the decade, including the Cold War. Using a range of scholarship and primary sources, including film, music, and literature, students will gain a greater understanding of the multifaceted dimensions of this pivotal and highly contested decade in American history.",Sustainability-inclusive,
History,First year Seminar in History,HIST 090,HIST,090,Specific offerings,"Visual and print media have reflected important changes in gender norms and sexuality in American culture, and they themselves have also been engines of change. This seminar explores the history of gender and sexuality in the 20th century in and through such popular media (including film, television, magazines, and advertising). By using the sources of popular culture, we will seek to understand changing gender ideals, expectations of marriage, sexual identities, and the role of media in American culture and politics.",Sustainability-inclusive,
History,A Divided America: The Coming and Aftermath of the Civil War,HIST 096,HIST,096,Specific offerings,"This course will examine how Americans in the North and South came to take up arms against one another in America's bloodiest war. We will study the causes, fighting, outcomes, and historical memory of the Civil War, focusing on the perspectives of political, economic, social, and cultural history. Using lectures, readings, visuals, and film, we will investigate topics and themes such as: labor and capitalism, political and cultural sectionalism, slavery and African American lives, abolition, secession, soldiering and manhood, the role of women in the war, constructions of gender and sexuality, freedom and emancipation, and the Civil War in cultural imagination and historical memory. This course can be used to fulfill elective requirements for the History major or minor.",Sustainability-inclusive,
History,20th Century African American History,HIST 097,HIST,097,Specific offerings,"In this course students will examine the history of African Americans over the course of the Twentieth Century. Using film, literature, speeches, and letters we will explore the development of Radical, Nationalist, and Feminist traditions during the period. We will also study how Black people used these, at times conflicting, ideologies to challenge white supremacy and craft a “more perfect union.” We will also determine the way these traditions influenced the creation of a modern Black Culture, and how that impact has led to the triumphs and tribulations of our current era. This course can be used to fulfill elective requirements for the History and Africana Studies major or minor.",Sustainability-inclusive,
History,Lehigh Launch History of the American West,HIST 098,HIST,098,Specific offerings,"This course is designed to give the students a basic understanding of the history of the Rocky Mountain West from the first inhabitants, the Native Americans, to the present residents. This history will strive to be inclusive of the many peoples who have been and are a part of the Rocky Mountain West. These groups include men and women of Native American Indians, Americans, Europeans, Mexicans, African-Americans, and Asians. This discussion will include motives for moving to the American West, and how these individual motives often conflicted with other groups of people; and continue to do so to the present.",Sustainability-inclusive,
History,Water in the 21st Century West - Lehigh Launch,HIST 098,HIST,098,Specific offerings,"This course is designed to give the students a basic understanding of the history of the Rocky Mountain West from the first inhabitants, the Native Americans, to the present residents. This history will strive to be inclusive of the many peoples who have been and are a part of the Rocky Mountain West. These groups include men and women of Native American Indians, Americans, Europeans, Mexicans, African-Americans, and Asians. This discussion will include motives for moving to the American West, and how these individual motives often conflicted with other groups of people; and continue to do so to the present.",Sustainability-inclusive,
